warn_date,naics_code,biz,address,wia_code,total_employees,effective_date,type_code
1/21/2022,561720,"ABM Industry Group, LLC","888 Bestgate Road               #111                                Annapolis, MD 21401",1,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","7670 Quarterfield Road          Glen Burnie, MD 21061",1,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","815 E. Pratt Street                 Baltimore, MD 21202",3,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","1701 Twin Springs Road     Halethorpe, MD 21227",2,13,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","1447 York Road                       #100                                        Lutherville, MD 21093",2,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","4920 Campbell Blvd.           Nottingham, MD 21236",2,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","7141 Security Boulevard       Windsor Mill, MD 21244",2,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","7190 Crestwood Blvd.        Frederick, MD 21703",4,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","7070 Samuel Morse Dr. Columbia, MD 21046",6,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","2106 Jefferson Street          Rockville, MD 20852",7,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","1500 Forest Glen Road         Silver Spring, MD 20910",7,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","2221 Broadbirch Drive          Silver Spring, MD 20904",7,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","12201 Plum Orchard Drive Silver Spring, MD 20904",7,15,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","10810 Connecticut Ave.   Kensington, MD 20895",7,6,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","10812 Connecticut Ave.   Kensington, MD 20895",7,7,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","655 Watkins Mill Road       Gaithersburg, MD 20879",7,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","6111 Executive Boulevard Rockville, MD 20852",7,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","1396 Piccard Drive           Rockville, MD 20850",7,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","4000 Garden City Drive       Hyattsville, MD 20785",8,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","1021 Bacon Drive             Beltsville, MD 20705",8,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","6104 Old Paint Branch Ave Temple Hills, MD 20748",8,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","1221 Mercantile Lane        Upper Marlboro, MD 20774",8,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","5100 Auth Way              Camp Springs, MD 20746",8,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","6525 Belcrest Road              Hyattsville, MD 20782",8,9,2/28/2022,2
1/21/2022,561720,"ABM Industry Group, LLC","3400 Box Hill South Pkwy Abingdon, MD 21009",10,9,2/28/2022,2
2/2/2022,711310,Royal Farms Arena/ASM Global,"201 W. Baltimore Street            Baltimore, MD 21202",3,"1,492",3/4/2022,1
